|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        1.85% |       10.23% |       4.5012 |       3.4025 |          0.0020 |
|       2 |           2 |       00:00:02 |        6.82% |              |       3.4609 |              |          0.0020 |
|       3 |           3 |       00:00:02 |        6.11% |              |       3.7535 |              |          0.0020 |
|       4 |           4 |       00:00:03 |       13.35% |              |       3.6292 |              |          0.0020 |
|       5 |           5 |       00:00:03 |       12.36% |              |       3.7564 |              |          0.0020 |
|       6 |           6 |       00:00:04 |       24.43% |              |       3.6779 |              |          0.0020 |
|       7 |           7 |       00:00:04 |       17.61% |              |       4.0530 |              |          0.0020 |
|       8 |           8 |       00:00:05 |       21.88% |              |       3.9254 |              |          0.0020 |
|       9 |           9 |       00:00:05 |       22.16% |              |       4.2443 |              |          0.0020 |
|      10 |          10 |       00:00:06 |       21.45% |       26.70% |       4.3799 |       4.2128 |          0.0020 |
|      11 |          11 |       00:00:07 |       25.43% |              |       4.3861 |              |          0.0020 |
|      12 |          12 |       00:00:07 |       27.41% |              |       4.1697 |              |          0.0020 |
|      13 |          13 |       00:00:07 |       37.36% |              |       3.8223 |              |          0.0020 |
|      14 |          14 |       00:00:08 |       41.05% |              |       3.0218 |              |          0.0020 |
|      15 |          15 |       00:00:08 |       33.38% |              |       2.9250 |              |          0.0020 |
|      16 |          16 |       00:00:09 |       35.09% |              |       2.5006 |              |          0.0020 |
|      17 |          17 |       00:00:09 |       42.19% |              |       2.2424 |              |          0.0020 |
|      18 |          18 |       00:00:10 |       32.95% |              |       2.4377 |              |          0.0020 |
|      19 |          19 |       00:00:10 |       39.35% |              |       2.1728 |              |          0.0020 |
|      20 |          20 |       00:00:11 |       47.30% |       58.52% |       1.8995 |       1.7146 |          0.0020 |
|      21 |          21 |       00:00:12 |       50.85% |              |       1.7960 |              |          0.0020 |
|      22 |          22 |       00:00:12 |       51.28% |              |       1.7014 |              |          0.0020 |
|      23 |          23 |       00:00:13 |       56.39% |              |       1.4408 |              |          0.0020 |
|      24 |          24 |       00:00:13 |       58.81% |              |       1.3260 |              |          0.0020 |
|      25 |          25 |       00:00:14 |       55.26% |              |       1.3184 |              |          0.0020 |
