|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        6.82% |        6.82% |       3.1038 |       2.9957 |          0.0500 |
|       2 |           2 |       00:00:01 |        5.40% |              |       3.0001 |              |          0.0500 |
|       3 |           3 |       00:00:01 |       10.23% |              |       2.9058 |              |          0.0500 |
|       4 |           4 |       00:00:01 |       14.63% |              |       2.7793 |              |          0.0500 |
|       5 |           5 |       00:00:01 |       18.32% |              |       2.6735 |              |          0.0500 |
|       6 |           6 |       00:00:02 |       26.42% |              |       2.5318 |              |          0.0500 |
|       7 |           7 |       00:00:02 |       30.40% |              |       2.3940 |              |          0.0500 |
|       8 |           8 |       00:00:02 |       31.68% |              |       2.3013 |              |          0.0500 |
|       9 |           9 |       00:00:02 |       31.39% |              |       2.2368 |              |          0.0500 |
|      10 |          10 |       00:00:03 |       29.40% |       35.23% |       2.2754 |       2.0610 |          0.0500 |
|      11 |          11 |       00:00:03 |       35.51% |              |       2.0930 |              |          0.0500 |
|      12 |          12 |       00:00:03 |       43.32% |              |       1.9595 |              |          0.0500 |
|      13 |          13 |       00:00:03 |       45.03% |              |       1.8456 |              |          0.0500 |
|      14 |          14 |       00:00:03 |       49.72% |              |       1.7287 |              |          0.0500 |
|      15 |          15 |       00:00:04 |       53.98% |              |       1.6543 |              |          0.0500 |
|      16 |          16 |       00:00:04 |       56.82% |              |       1.5650 |              |          0.0500 |
|      17 |          17 |       00:00:04 |       57.53% |              |       1.4505 |              |          0.0500 |
|      18 |          18 |       00:00:04 |       62.36% |              |       1.4044 |              |          0.0500 |
|      19 |          19 |       00:00:05 |       68.47% |              |       1.3025 |              |          0.0500 |
|      20 |          20 |       00:00:05 |       66.19% |       65.91% |       1.2305 |       1.2290 |          0.0500 |
|      21 |          21 |       00:00:05 |       68.61% |              |       1.1732 |              |          0.0500 |
|      22 |          22 |       00:00:05 |       71.73% |              |       1.1145 |              |          0.0500 |
|      23 |          23 |       00:00:06 |       72.73% |              |       1.0652 |              |          0.0500 |
|      24 |          24 |       00:00:06 |       71.88% |              |       1.0448 |              |          0.0500 |
|      25 |          25 |       00:00:06 |       74.15% |              |       0.9709 |              |          0.0500 |
